cum_bench,cum_wo_cost,cum_w_cost
0.0,0.0,0.0
-0.005588161838161847,0.005881960000000149,0.0023016139708882783
-0.004191121378621316,0.00408025,0.0004999039708881293
-0.016062062937062936,-0.0011062500000000005,-0.00468659602911187
-0.015359640359640332,0.00029069999999999964,-0.0032896460291118703
-0.01047390109890109,-0.007727559999999963,-0.011307906029111834
-0.012565559440559409,-0.01219267999999989,-0.01577302602911176
-0.006985202297702239,-0.01938287999999989,-0.02296322602911176
-0.02094780219780218,-0.027634269999999926,-0.031214616029111797
-0.022344842657342573,-0.030062850000000002,-0.03364319602911187
-0.018856143856143863,-0.02946447999999989,-0.03304482602911176
-0.004191121378621319,-0.03029204000000004,-0.03387238602911191
-0.011168518981018881,-0.034138159999999966,-0.03771850602911184
-0.020253184315684257,-0.036704989999999854,-0.040285336029111725
-0.012565559440559412,-0.0345808,-0.03816114602911187
-0.012565559440559412,-0.032423339999999856,-0.03600368602911172
-0.008374438061937958,-0.032444100000000003,-0.03602444602911187
-0.0062827797202796385,-0.033806619999999926,-0.03738696602911179
-0.0013970404595403958,-0.03518121999999992,-0.03876156602911179
-0.0069852022977022424,-0.03271325999999996,-0.03629360602911182
-0.015359640359640336,-0.0361468,-0.039727146029111864
-0.01675668081918073,-0.0329389,-0.036519246029111864
-0.023039460539460502,-0.03842032999999989,-0.042000676029111755
-0.04189560439560436,-0.04978035999999997,-0.05336070602911183
-0.043995067432567356,-0.05656055000000001,-0.06014089602911187
-0.037704483016982905,-0.04684935999999997,-0.050429706029111836
-0.04539210789210789,-0.057757929999999895,-0.06133827602911176
-0.041200986513486436,-0.06407815999999997,-0.06765850602911183
-0.038406905594405516,-0.06187071999999993,-0.0654510660291118
-0.039101523476523445,-0.06385679000000004,-0.06743713602911192
-0.04120098651348644,-0.06006973999999985,-0.06365008602911174
-0.04748376623376622,-0.06549104000000004,-0.06907138602911192
-0.043292644855144766,-0.0707548799999999,-0.07433522602911177
-0.0446896853146853,-0.06899285999999998,-0.07257320602911185
-0.03142170329670328,-0.0737886299999999,-0.07736897602911177
-0.02862762237762236,-0.06965387999999989,-0.07323422602911177
-0.02723058191808183,-0.06602128999999986,-0.06960163602911174
-0.01606206293706295,-0.058079200000000004,-0.06165954602911188
-0.01606206293706295,-0.059338679999999894,-0.06291902602911177
-0.039101523476523445,-0.07101118999999986,-0.07459153602911173
-0.030727085414585353,-0.06905878999999987,-0.07263913602911173
-0.02164242007991998,-0.06302191999999994,-0.0666022660291118
-0.020947802197802193,-0.06247454000000005,-0.06605488602911191
-0.020947802197802193,-0.061816200000000016,-0.06539654602911188
-0.032124125874125886,-0.07368353999999987,-0.07726388602911173
-0.027933004495504433,-0.07476089000000005,-0.07834123602911192
-0.057263049450549386,-0.08657385000000001,-0.09015419602911187
-0.06285121128871124,-0.09442393999999986,-0.09800428602911172
-0.04888080669330662,-0.09064856999999993,-0.09422891602911179
-0.04888080669330662,-0.0913895,-0.09496984602911186
-0.046789148351648296,-0.09461523999999985,-0.09819558602911171
-0.04189560439560438,-0.09192186999999992,-0.09550221602911178
-0.04329264485514477,-0.08537409000000003,-0.08895443602911189
-0.05027784715284715,-0.08925429000000003,-0.09283463602911189
-0.04120098651348646,-0.09473219000000002,-0.09831253602911189
-0.05307192807192808,-0.09777412999999988,-0.10135447602911174
-0.062148788711288636,-0.10187548999999983,-0.1054558360291117
-0.06773695054945048,-0.10373864999999999,-0.10731899602911185
-0.08100493256743249,-0.11054241999999992,-0.11412276602911178
-0.08030250999001003,-0.11188416999999992,-0.11546451602911179
-0.08659309440559435,-0.11505839000000004,-0.1186387360291119
-0.07122564935064933,-0.11420359999999981,-0.11778394602911167
-0.07611919330669326,-0.12455701999999992,-0.12813736602911177
-0.08868475274725267,-0.13678675999999995,-0.14036710602911182
-0.08799013486513488,-0.14125739000000004,-0.1448377360291119
-0.08240197302697302,-0.135084,-0.13866434602911187
-0.09217345154845151,-0.1352159299999999,-0.13879627602911176
-0.09636457292707297,-0.12899481,-0.13257515602911185
-0.09846403596403597,-0.12830116999999994,-0.1318815160291118
-0.09846403596403597,-0.1321366299999999,-0.13571697602911176
-0.11382367632367629,-0.13604278999999986,-0.13962313602911172
-0.1124266358641359,-0.1339153799999999,-0.13749572602911175
-0.11592313936063929,-0.13616872999999988,-0.13974907602911174
-0.12150349650349646,-0.1304087299999999,-0.13398907602911175
-0.12639704045954037,-0.12136006999999993,-0.1249404160291118
-0.13966502247752238,-0.13702631999999992,-0.1406066660291118
-0.1424591033966033,-0.13882260999999996,-0.14240295602911182
-0.16480394605394602,-0.16987431000000006,-0.17345465602911192
-0.19692807192807188,-0.2023875000000001,-0.20596784602911195
-0.1620098651348651,-0.19610696000000008,-0.19968730602911192
-0.15712412587412586,-0.16440871000000007,-0.1679890560291119
-0.15991820679320679,-0.1399067299999999,-0.14348707602911173
-0.13687094155844148,-0.12403230000000001,-0.12761264602911185
-0.12988573926073924,-0.13254058999999987,-0.1361209360291117
-0.1375655594405594,-0.13729260000000001,-0.14087294602911185
-0.13267982017982016,-0.14806144000000004,-0.15164178602911188
-0.13198520229770225,-0.13578895999999996,-0.1393693060291118
-0.14315372127872125,-0.147969,-0.15154934602911183
-0.14455076173826178,-0.14866283999999985,-0.1522431860291117
-0.14175668081918086,-0.14876660999999997,-0.1523469560291118
-0.10405219780219782,-0.1376024299999999,-0.14118277602911172
-0.1138236763236763,-0.13234948999999985,-0.13592983602911168
-0.11312905844155838,-0.12430871999999993,-0.12788906602911176
-0.11102959540459538,-0.12897460999999996,-0.1325549560291118
-0.11801479770229761,-0.13236205999999995,-0.13594240602911178
-0.10754089660339652,-0.13146299000000003,-0.13504333602911187
-0.09217345154845151,-0.12474371999999992,-0.12832406602911176
-0.09427291458541451,-0.11940148999999985,-0.12298183602911168
-0.11382367632367629,-0.13040135,-0.13398169602911184
-0.10893793706293706,-0.13149532999999988,-0.13507567602911172
-0.12919112137862132,-0.14175556999999991,-0.14533591602911175
-0.13407686063936056,-0.1495330699999999,-0.15311341602911174
-0.13058816183816185,-0.15133195,-0.15491229602911183
-0.12848869880119887,-0.14766606999999993,-0.15124641602911176
-0.11173201798201801,-0.1440742,-0.14765454602911185
-0.11661775724275725,-0.14467675000000002,-0.14825709602911186
-0.11452609890109892,-0.13557454000000005,-0.13915488602911188
-0.10754089660339655,-0.13481699000000005,-0.1383973360291119
-0.09427291458541454,-0.1273722799999999,-0.13095262602911173
-0.096364572927073,-0.13276626999999994,-0.13634661602911177
-0.08449363136863138,-0.12107540000000001,-0.12465574602911185
-0.0879901348651349,-0.12480142999999991,-0.12838177602911174
-0.09147883366633362,-0.1232780799999999,-0.12685842602911174
-0.0782108516483516,-0.10723965000000002,-0.11081999602911186
-0.08169955044955046,-0.09427405999999998,-0.09785440602911182
-0.07890546953046954,-0.09307761999999994,-0.09665796602911178
-0.07890546953046954,-0.07674218999999988,-0.08032253602911171
-0.08519605394605398,-0.08609607999999991,-0.08967642602911174
-0.08519605394605398,-0.08360333999999987,-0.08718368602911171
-0.07960789210789213,-0.08143969999999984,-0.08502004602911167
-0.07024225774225767,-0.07476180000000002,-0.07834214602911185
-0.07528409090909087,-0.07879316999999994,-0.08237351602911178
-0.08176198801198799,-0.08400626999999994,-0.08758661602911177
-0.08824768981018978,-0.08955531999999994,-0.09313566602911177
-0.0896837537462537,-0.09487675000000001,-0.09845709602911185
-0.08824768981018978,-0.09204488999999987,-0.0956252360291117
-0.07384022227772227,-0.0860489800000001,-0.08981459630055827
-0.05583479020979016,-0.07810625999999998,-0.08187187630055816
-0.05799669080919085,-0.0801506299999999,-0.08391624630055808
-0.07672015484515478,-0.09011171999999994,-0.09387733630055811
-0.08320585664335657,-0.1007004299999999,-0.10446019323844433
-0.09400755494505493,-0.11147770999999997,-0.1152374732384444
-0.10480925324675315,-0.11821785999999997,-0.1219776232384444
-0.10337318931068923,-0.11233528999999985,-0.11655029412593168
-0.11273101898101899,-0.12586058999999986,-0.13007559412593167
-0.11921672077922078,-0.1362597900000002,-0.1395421706572183
-0.10192932067932063,-0.12513395,-0.12841633065721808
-0.1156109515484515,-0.1298373,-0.13311968065721808
-0.10264735264735259,-0.12210559000000021,-0.1253879706572183
-0.10264735264735259,-0.12345509999999998,-0.12673748065721807
-0.09833135614385616,-0.12101471000000014,-0.12429709065721822
-0.10768918581418578,-0.13895359999999998,-0.14223598065721807
-0.10768918581418578,-0.13924086000000013,-0.14252324065721822
-0.0954514235764235,-0.1176972400000002,-0.12097962065721829
-0.10768918581418578,-0.12467128000000005,-0.12795366065721814
-0.118490884115884,-0.14427816000000013,-0.14756054065721821
-0.10121128871128866,-0.12964122000000028,-0.13292360065721837
