cum_bench,cum_wo_cost,cum_w_cost
0.0,0.0,0.0
-0.005588161838161847,0.0,0.0
-0.004191121378621316,0.0,0.0
-0.016062062937062936,0.0,0.0
-0.015359640359640332,0.0,0.0
-0.01047390109890109,0.0,0.0
-0.012565559440559409,0.0,0.0
-0.006985202297702239,0.0,0.0
-0.02094780219780218,0.0,0.0
-0.022344842657342573,0.0,0.0
-0.018856143856143863,0.0,0.0
-0.004191121378621319,0.0,0.0
-0.011168518981018881,0.0,0.0
-0.020253184315684257,0.0,0.0
-0.012565559440559412,0.0,0.0
-0.012565559440559412,0.0,0.0
-0.008374438061937958,0.0,0.0
-0.0062827797202796385,0.0,0.0
-0.0013970404595403958,0.0,0.0
-0.0069852022977022424,0.0,0.0
-0.015359640359640336,0.0,0.0
-0.01675668081918073,0.0,0.0
-0.023039460539460502,0.0,0.0
-0.04189560439560436,0.0,0.0
-0.043995067432567356,0.0,0.0
-0.037704483016982905,0.0,0.0
-0.04539210789210789,0.0,0.0
-0.041200986513486436,0.0,0.0
-0.038406905594405516,0.0,0.0
-0.039101523476523445,0.0,0.0
-0.04120098651348644,0.0,0.0
-0.04748376623376622,0.0,0.0
-0.043292644855144766,0.0,0.0
-0.0446896853146853,0.0,0.0
-0.03142170329670328,0.0,0.0
-0.02862762237762236,0.0,0.0
-0.02723058191808183,0.0,0.0
-0.01606206293706295,0.0,0.0
-0.01606206293706295,0.0,0.0
-0.039101523476523445,0.0,0.0
-0.030727085414585353,0.0,0.0
-0.02164242007991998,0.0,0.0
-0.020947802197802193,0.0,0.0
-0.020947802197802193,0.0,0.0
-0.032124125874125886,0.0,0.0
-0.027933004495504433,0.0,0.0
-0.057263049450549386,0.0,0.0
-0.06285121128871124,0.0,0.0
-0.04888080669330662,0.0,0.0
-0.04888080669330662,0.0,0.0
-0.046789148351648296,0.0,0.0
-0.04189560439560438,0.0,0.0
-0.04329264485514477,0.0,0.0
-0.05027784715284715,0.0,0.0
-0.04120098651348646,0.0,0.0
-0.05307192807192808,0.0,0.0
-0.062148788711288636,0.0,0.0
-0.06773695054945048,0.0,0.0
-0.08100493256743249,0.0,0.0
-0.08030250999001003,0.0,0.0
-0.08659309440559435,0.0,0.0
-0.07122564935064933,0.0,0.0
-0.07611919330669326,0.0,0.0
-0.08868475274725267,0.0,0.0
-0.08799013486513488,-0.028283640000000037,-0.015478328894062374
-0.08240197302697302,-0.02719017000000011,-0.014962148522783839
-0.09217345154845151,-0.01936734000000004,-0.007139318522783765
-0.09636457292707297,-0.02281872000000011,-0.01059069852278384
-0.09846403596403597,-0.0008405900000000369,0.011387431477216235
-0.09846403596403597,-0.001025580000000074,0.011202441477216198
-0.11382367632367629,-0.0058302200000001116,0.0063978014772161605
-0.1124266358641359,0.0031545199999999263,0.015382541477216198
-0.11592313936063929,-0.021685880000000074,-0.0094578585227838
-0.12150349650349646,-0.04235653000000007,-0.0301285085227838
-0.12639704045954037,-0.03920132000000011,-0.026973298522783837
-0.13966502247752238,-0.058242509999999956,-0.046014488522783684
-0.1424591033966033,-0.05132314999999999,-0.03909512852278372
-0.16480394605394602,-0.08343151000000014,-0.07120348852278387
-0.19692807192807188,-0.14356223000000007,-0.1313342085227838
-0.1620098651348651,-0.10017011000000015,-0.08794208852278387
-0.15712412587412586,-0.0969903700000001,-0.08476234852278383
-0.15991820679320679,-0.09843219000000003,-0.08620416852278376
-0.13687094155844148,-0.06278375000000018,-0.05055572852278391
-0.12988573926073924,-0.04515953000000007,-0.0329315085227838
-0.1375655594405594,-0.05437502000000011,-0.042146998522783835
-0.13267982017982016,-0.05819459000000003,-0.04596656852278376
-0.13198520229770225,-0.051158110000000145,-0.03893008852278387
-0.14315372127872125,-0.059065900000000185,-0.04683787852278391
-0.14455076173826178,-0.06446734000000004,-0.05223931852278377
-0.14175668081918086,-0.05292061000000015,-0.04069258852278388
-0.10405219780219782,0.003497299999999995,0.015725321477216267
-0.1138236763236763,-0.00623568000000008,0.005992341477216192
-0.11312905844155838,0.014270529999999882,0.026498551477216154
-0.11102959540459538,0.006235159999999957,0.018463181477216227
-0.11801479770229761,-0.007820350000000005,0.004407671477216265
-0.10754089660339652,-0.0008534200000001168,0.011374601477216154
-0.09217345154845151,0.02429240999999996,0.03652043147721623
-0.09427291458541451,0.03589883999999985,0.04812686147721612
-0.11382367632367629,-0.0028725200000001144,0.009355501477216158
-0.10893793706293706,-0.006019910000000152,0.0062081114772161205
-0.12919112137862132,-0.03220213000000008,-0.019974108522783807
-0.13407686063936056,-0.06290152000000011,-0.05067349852278384
-0.13058816183816185,-0.06418466000000016,-0.05195663852278388
-0.12848869880119887,-0.06760217000000011,-0.05537414852278384
-0.11173201798201801,-0.03594999000000004,-0.02372196852278377
